ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
14049	MT-RNR1	-4.98208360786455	1.22642268796171	-5.78105484001145	1.66455082519697e-05	0.303048123235361	-2.80731719753746
17170	MTRNR2L12	-3.01286850650968	-6.293447586937	-4.83023365469764	0.000128729591987967	0.999804375004354	-3.09055660300353
14038	MT-RNR2	-3.75825042910786	3.85202923406873	-4.44406009969148	0.000302730298937086	0.999804375004354	-3.22431727653623
14802	MT-ATP8	-1.24666298767671	0.998758838187783	-3.24461833594761	0.00442854485553513	0.999804375004354	-3.70612167833913
16385	MTRNR2L3	-1.09198396199351	-1.25633866946259	-3.1597721633745	0.00534243078488796	0.999804375004354	-3.74330711558974
17362	AL603756.1	0.529407227283679	2.31261773661879	3.08115841608629	0.00635211660093651	0.999804375004354	-3.7780018939294
13521	MT-ND6	-0.954885636977853	3.53328482013143	-3.04722932949123	0.00684324211580543	0.999804375004354	-3.79303959209791
15972	MTATP6P1	-1.0972641573233	2.83866067951519	-3.04661587022168	0.00685245334916051	0.999804375004354	-3.79331181037687
15758	AC082651.3	-1.2071768950091	0.154174655546317	-3.01408900224417	0.00735848896730991	0.999804375004354	-3.80776120597692
16314	EID3	0.45827338947659	2.34600166100896	2.99425893606907	0.00768459967359185	0.999804375004354	-3.8165849109113
14679	PSPHP1	-2.43682899082104	-8.77737949790478	-2.94422642720825	0.0085708824283498	0.999804375004354	-3.83889258872036
13532	MT-CYB	-0.664397021131364	8.76369833836922	-2.8315112670527	0.0109442027197775	0.999804375004354	-3.88934206821034
15172	AC006019.2	1.24759664654382	4.90173835810474	2.8177567448482	0.0112738848798907	0.999804375004354	-3.89551274965724
13606	MT-ND1	-0.778507495078783	7.14322654963038	-2.81512300402765	0.0113380924985814	0.999804375004354	-3.89669460416399
15582	IGKV3-20	-2.0201267570169	-5.7258344108045	-2.80441555070323	0.0116027635855718	0.999804375004354	-3.90150030146324
14929	AL589880.1	1.12397886944935	3.07029074855964	2.80424789180606	0.0116069546521867	0.999804375004354	-3.90157556063151
15391	ENO1-IT1	0.737978801589511	1.81679769933561	2.79374557323789	0.0118724037025377	0.999804375004354	-3.90629050182705
7353	ADAMTS16	-1.20994359365718	-1.0602051454243	-2.76660429726273	0.0125856525110949	0.999804375004354	-3.91848060265028
15212	RPL10P9	-1.93841436152199	-4.56808469164461	-2.73603120130632	0.0134382388581672	0.999804375004354	-3.93221932646328
6626	LUM	-0.655069782170858	7.01952631072556	-2.72400455438406	0.0137885393842488	0.999804375004354	-3.93762536349738
15192	HNRNPA1P27	0.855164095997521	0.482707828560889	2.70516477819358	0.0143548838156794	0.999804375004354	-3.94609520254171
14053	IGKV4-1	-1.79895784797009	-4.9896768868931	-2.6902676366131	0.01481836086232	0.999804375004354	-3.95279328873253
12834	SERPINA5	-0.653845427850737	1.81287351516369	-2.66978198617305	0.015479059558005	0.999804375004354	-3.96200456469028
17697	AC009118.3	0.702268140797849	1.11076741948773	2.66455878619332	0.0156519540024501	0.999804375004354	-3.96435315457239
7498	NLGN4X	-0.373231245239174	2.02949401174128	-2.64563074506007	0.0162940242864845	0.999804375004354	-3.97286375703836
10357	SPRR1A	-1.0103415257968	1.42157405215438	-2.64417768360018	0.0163443365548801	0.999804375004354	-3.97351706388752
18198	AL139424.2	0.817667569217821	0.510867141277294	2.62848920951015	0.0168970394562237	0.999804375004354	-3.98057026695444
14523	HAGLR	-0.382022988127022	0.31034580294219	-2.6264352577305	0.0169707010777655	0.999804375004354	-3.98149360795888
13554	MT-ND5	-0.573326781713116	8.77735184370813	-2.62501509004159	0.0170218113120923	0.999804375004354	-3.98213202408521
13611	MT-ATP6	-0.832319923960459	6.77382504405457	-2.62176236607239	0.0171394245614333	0.999804375004354	-3.9835942034094
15635	AC108860.1	0.633113705555593	2.46131019842015	2.61441002129556	0.0174081229124934	0.999804375004354	-3.98689906134658
1264	FAP	-0.643482860577727	3.67367679276512	-2.61387017581653	0.0174280088365136	0.999804375004354	-3.98714170855286
5316	DPP6	0.845288854149775	5.22098018548939	2.61366328404341	0.0174356356819374	0.999804375004354	-3.98723470084574
11476	RBM44	0.851677866203289	2.47254242012447	2.61234452132676	0.0174843249582055	0.999804375004354	-3.98782744334968
13547	MT-ND2	-0.724044264392136	6.31570596817842	-2.60659850588609	0.0176979798959593	0.999804375004354	-3.99040997325828
15324	SSR4P1	0.694631602871657	2.14518909047688	2.5997405143789	0.0179562234966981	0.999804375004354	-3.99349199395195
14058	IGLC2	-1.6730315421581	-3.98476525007098	-2.59437784721491	0.0181606443280131	0.999804375004354	-3.99590177288686
15917	MIR4458HG	0.602573768154716	2.79689777303466	2.58442607198103	0.0185458558394129	0.999804375004354	-4.00037312157236
9221	TM4SF18	-0.778922725857735	1.49437687849588	-2.58245831557242	0.0186229343162517	0.999804375004354	-4.00125713845786
2917	CNTNAP3	0.793328051172163	5.32532898213868	2.5701197042512	0.0191132038871931	0.999804375004354	-4.00679945564554
